Proptype,Locality,Count,lat,lng,ROI
KONDOMINIUM,"BANGSAR PUTERI, KUALA LUMPUR",98,3.1420343,101.6629734,27.15026445
KONDOMINIUM,"BANGSAR VILLA, KUALA LUMPUR",11,3.142162,101.66603,36.26744408
KONDOMINIUM,"BANJARIA COURT, GOMBAK",159,3.2349036,101.7002326,29.57713724
KONDOMINIUM,"BAYU ANGKASA, KUALA LUMPUR",163,3.138434,101.663545,27.51925844
KONDOMINIUM,"BELAIR APARTMENT, KUALA LUMPUR",11,3.16088,101.6562802,19.65367137
KONDOMINIUM,"BELVEDERE, KUALA LUMPUR",25,3.1619283,101.6845269,20.09871781
KONDOMINIUM,"BESTARI CONDOMINIUM, KUALA LUMPUR",243,3.168115,101.6936649,27.40797228
KONDOMINIUM,"BINTANG MAS CONDOMINIUM, KUALA LUMPUR",63,3.1125183,101.7174873,35.54297967
KONDOMINIUM,"BOULEVARD SUBANG JAYA, PETALING",48,3.078189,101.6022854,4.334083112
KONDOMINIUM,"BRUNSFIELD EMBASSYVIEW, KUALA LUMPUR",32,3.159606,101.733452,2.93485404
KONDOMINIUM,"BUKIT ROBSON CONDOMINIUM, KUALA LUMPUR",49,3.119792,101.686145,25.1795958
KONDOMINIUM,"CASA DAMANSARA, PETALING",60,3.1295946,101.6267141,7.67125467
KONDOMINIUM,"CASA DEL SOL (BUKIT ANTARABANGSA), GOMBAK",74,3.186191,101.770358,24.94348569
KONDOMINIUM,"CASA DESA CONDOMINIUM, KUALA LUMPUR",231,3.0972917,101.6789419,29.38052961
KONDOMINIUM,"CASA GREEN (CONDOMINIUM CASA GREEN), ULU LANGAT",24,3.0571541,101.7614882,-15.27794164
KONDOMINIUM,"CASA IDAMAN, KUALA LUMPUR",274,3.2049438,101.6815493,28.64719483
KONDOMINIUM,"CASA INDAH 1 (DAMANSARA INDAH RST), PETALING",430,3.1493922,101.5895415,28.71129924
KONDOMINIUM,"CASA KIARA CONDOMINIUM, KUALA LUMPUR",183,3.1689791,101.6485384,19.19339674
KONDOMINIUM,"CASA KIARA II, KUALA LUMPUR",146,3.1688706,101.6466229,22.40415806
KONDOMINIUM,"CASA RESIDENZA, PETALING",38,3.1507793,101.5749918,-13.75320028
KONDOMINIUM,"CASA TROPICANA, PETALING",761,3.1372574,101.5945155,30.68484485
KONDOMINIUM,"CASA TROPIKA, PETALING",74,2.9979526,101.621674,3.896712929
KONDOMINIUM,"CASA VISTA, KUALA LUMPUR",23,3.1384114,101.6648123,19.55677558
KONDOMINIUM,"CASA VISTAMINIUM, KUALA LUMPUR",48,3.139003,101.686855,32.18890555
KONDOMINIUM,"CASCADES @ KOTA DAMANSARA, PETALING",67,3.15505,101.596094,-1.358821613
KONDOMINIUM,"CASCADIUM, KUALA LUMPUR",68,3.1413813,101.6664952,23.32633013
KONDOMINIUM,"CENDANA CONDOMINIUM, KUALA LUMPUR",69,3.1583568,101.7053172,-8.897845697
KONDOMINIUM,"CENGAL CONDOMINIUM, KUALA LUMPUR",259,3.0992387,101.7105093,33.50447704
KONDOMINIUM,"CERIAAN KIARA, KUALA LUMPUR",141,3.1693975,101.649448,10.9956174
KONDOMINIUM,"CHANGKAT DUTA KIARA, KUALA LUMPUR",19,3.1719817,101.6589897,26.63672939
KONDOMINIUM,"CHANGKAT VIEW CONDOMINIUM, KUALA LUMPUR",530,3.178694,101.6595263,30.08720021
